SanketIngale, Sat Feb 06 01:23:04 +0000 2021, -73.968542, 40.780709, Lfmao but he should have some savings for sure ... 
Joe91320, Sat Feb 06 01:23:12 +0000 2021, -117.022695, 38.502147, He misses his basement. 🤣🤣🤣🤣 
seanyodarouse, Sat Feb 06 01:23:34 +0000 2021, -122.279521, 37.875845, Nice to see that @POTUS’ first Air Force One flight is on SAM90017 — one of the C-32s (military grade 757s) that ma… https://t.co/bUb2PGGZRs 
jonlipnick, Sat Feb 06 01:23:37 +0000 2021, -76.797222, 39.421988, @TheDemCoalition And consider this: Biden didn’t make that decision out of spite but based on intelligence he received from his natsec team. 
bbouton, Sat Feb 06 01:23:41 +0000 2021, -81.986834, 26.636480, betcha Trump quits intelligence with a press release soon...@davetg @laflynt @VickiRodrigue11 
2spooky4mi, Sat Feb 06 01:23:46 +0000 2021, -118.018856, 33.975918, We were promised $2,000 checks? Be better 
Pengologist, Sat Feb 06 01:23:46 +0000 2021, -122.330602, 47.614817, @SeattlePD If only we could trust anything you sayThat photo is only what's left after the #ACAB took their cut… https://t.co/KCD4D5985p 
charmai01755989, Sat Feb 06 01:23:51 +0000 2021, -119.025163, 35.346902, @natgeowild I had this dream last night that Biden was a devilish horned black goat 🐐 and the devil 😈 was now in th… https://t.co/qVtZLSKuym 
CTodd9, Sat Feb 06 01:23:58 +0000 2021, -73.337097, 40.803076, @CConardist @BGIradji @joncoopertweets @ReallyAmerican1 This dude is in better shape than Biden? https://t.co/t01r0vYndD 
JacquiTomaszew1, Sat Feb 06 01:24:26 +0000 2021, -83.804475, 27.698682, Delta Force for Biden🤔🤔 
JenniAgitator, Sat Feb 06 01:24:53 +0000 2021, -77.349057, 38.955801, @NCSAutismOrg You don’t? Why did you advocate against KASSA in your position statement to Joe Biden? And also on yo… https://t.co/x5wDlRXQGp 
OttoHuang120, Sat Feb 06 01:25:28 +0000 2021, 120.955805, 24.783613, 杭特拜登 全家搬家到 加州的威尼斯城。房租月租金2萬5千美元。有24小時保全及遊艇河岸https://t.co/bdb8oqjE3g 
NevadaKiran, Sat Feb 06 01:25:42 +0000 2021, -106.632718, 35.117002, @arirutan @WSJ No, Biden was groomed by China not Russia. 
RhymesWithRight, Sat Feb 06 01:25:48 +0000 2021, -95.016455, 29.583053, I could have sworn that this ass clown was canceled and silenced. I guess whoever said that lied. 
